1st Fighter Wing,Col Jason Hinds,Joint Base Langley-Eustis Virginia,Aut Vincere Aut Mori,Fighter: Air Dominance,500,ACC
1st Special Operations Wing,Col Mike Conley,Hurlburt Field Florida,Any Time Any Place,Special Operations,5194,AFSOC
2nd Bomb Wing,Col Michael A. Miller,Barksdale AFB Louisiana,Libertatem Defendimus,Bomber,500,AFGSC
4th Fighter Wing,Col Donn Yates,Seymour Johnson AFB North Carolina,Fourth but First,,500,ACC
6th Air Mobility Wing,Col Stephen P. Snelson,Macdill AFB Florida,Parati Defendere,Air Refueling and Airlift,500,AMC
